Firmware_Version=1.8;Sensor_Type=TYPE_SEABIRD_SBE37;Slot=9;SensorId=2;
DATE;TIME;TEMPERATURE;CONDUCTIVITY;PRESSION;SALINITY;SOUND SPEED;
 ; ;°C;S/m;dbars;PSU;m/sec;
18/07/2017;13:00:00;4.6249;3.38454;1722.326;34.9748;1497.658;
18/07/2017;13:15:00;4.5642;3.37859;1722.326;34.9692;1497.401;
18/07/2017;13:30:00;4.5593;3.37821;1722.320;34.9698;1497.382;
18/07/2017;13:45:00;4.5529;3.37757;1722.272;34.9692;1497.354;
18/07/2017;14:00:00;4.5799;3.37992;1722.235;34.9682;1497.463;
18/07/2017;14:15:00;4.6040;3.38211;1722.214;34.9686;1497.562;
18/07/2017;14:30:00;4.6457;3.38654;1722.184;34.9763;1497.742;
18/07/2017;14:45:00;4.6452;3.38652;1722.191;34.9766;1497.741;
18/07/2017;15:00:00;4.6337;3.38518;1722.184;34.9732;1497.689;
18/07/2017;15:15:00;4.6281;3.38485;1722.157;34.9751;1497.668;
18/07/2017;15:30:00;4.6321;3.38528;1722.157;34.9759;1497.686;
18/07/2017;15:45:00;4.6260;3.38473;1722.184;34.9759;1497.661;
18/07/2017;16:00:00;4.6024;3.38243;1722.220;34.9739;1497.562;
18/07/2017;16:15:00;4.6063;3.38265;1722.256;34.9723;1497.577;
18/07/2017;16:30:00;4.5857;3.38092;1722.263;34.9738;1497.494;
18/07/2017;16:45:00;4.6194;3.38405;1722.263;34.9749;1497.634;
18/07/2017;17:00:00;4.6111;3.38325;1722.326;34.9742;1497.600;
18/07/2017;17:15:00;4.6185;3.38388;1722.369;34.9738;1497.631;
18/07/2017;17:30:00;4.6222;3.38432;1722.390;34.9750;1497.648;
18/07/2017;17:45:00;4.6105;3.38314;1722.432;34.9735;1497.599;
18/07/2017;18:00:00;4.6398;3.38589;1722.432;34.9748;1497.721;
18/07/2017;18:15:00;4.6293;3.38497;1722.496;34.9751;1497.679;
18/07/2017;18:30:00;4.6284;3.38498;1722.538;34.9761;1497.677;
18/07/2017;18:45:00;4.6461;3.38659;1722.565;34.9762;1497.750;
18/07/2017;19:00:00;4.6287;3.38508;1722.602;34.9769;1497.680;
18/07/2017;19:15:00;4.6055;3.38288;1722.644;34.9756;1497.584;
18/07/2017;19:30:00;4.5967;3.38201;1722.708;34.9748;1497.548;
18/07/2017;19:45:00;4.5945;3.38182;1722.723;34.9747;1497.539;
18/07/2017;20:00:00;4.5815;3.38062;1722.771;34.9744;1497.486;
18/07/2017;20:15:00;4.5683;3.37937;1722.786;34.9737;1497.431;
18/07/2017;20:30:00;4.5650;3.37904;1722.786;34.9733;1497.417;
18/07/2017;20:45:00;4.5662;3.37913;1722.828;34.9731;1497.423;
18/07/2017;21:00:00;4.5698;3.37946;1722.828;34.9732;1497.438;
18/07/2017;21:15:00;4.5705;3.37952;1722.871;34.9731;1497.441;
18/07/2017;21:30:00;4.5706;3.37957;1722.871;34.9736;1497.442;
18/07/2017;21:45:00;4.5728;3.37970;1722.871;34.9728;1497.450;
18/07/2017;22:00:00;4.5700;3.37940;1722.807;34.9723;1497.437;
18/07/2017;22:15:00;4.5612;3.37865;1722.828;34.9728;1497.402;
18/07/2017;22:30:00;4.5671;3.37920;1722.786;34.9730;1497.426;
18/07/2017;22:45:00;4.5793;3.38032;1722.765;34.9733;1497.476;
18/07/2017;23:00:00;4.5842;3.38081;1722.765;34.9738;1497.496;
18/07/2017;23:15:00;4.5992;3.38220;1722.723;34.9743;1497.558;
18/07/2017;23:30:00;4.5923;3.38152;1722.680;34.9737;1497.528;
18/07/2017;23:45:01;4.5624;3.37879;1722.638;34.9732;1497.404;
19/07/2017;00:00:00;4.5745;3.37985;1722.617;34.9728;1497.453;
19/07/2017;00:15:00;4.6091;3.38248;1722.574;34.9674;1497.587;
19/07/2017;00:30:00;4.5752;3.37979;1722.538;34.9715;1497.453;
19/07/2017;00:45:00;4.5659;3.37867;1722.532;34.9683;1497.410;
19/07/2017;01:00:00;4.5315;3.37552;1722.483;34.9675;1497.267;
19/07/2017;01:15:00;4.5295;3.37516;1722.441;34.9656;1497.255;
19/07/2017;01:30:00;4.5924;3.38098;1722.398;34.9674;1497.516;
19/07/2017;01:45:00;4.5511;3.37701;1722.356;34.9645;1497.341;
19/07/2017;02:00:00;4.5070;3.37318;1722.356;34.9661;1497.162;
19/07/2017;02:15:00;4.5720;3.37822;1722.335;34.9568;1497.417;
19/07/2017;02:30:00;4.5098;3.37350;1722.272;34.9669;1497.174;
19/07/2017;02:45:00;4.5488;3.37564;1722.293;34.9511;1497.314;
19/07/2017;03:00:00;4.5180;3.37409;1722.272;34.9651;1497.205;
19/07/2017;03:15:00;4.5115;3.37345;1722.250;34.9645;1497.177;
19/07/2017;03:30:00;4.4984;3.37221;1722.229;34.9639;1497.122;
19/07/2017;03:45:00;4.5008;3.37246;1722.229;34.9642;1497.132;
19/07/2017;04:00:00;4.5075;3.37315;1722.208;34.9653;1497.161;
19/07/2017;04:15:00;4.5220;3.37451;1722.208;34.9660;1497.221;
19/07/2017;04:30:00;4.5299;3.37542;1722.208;34.9683;1497.257;
19/07/2017;04:45:00;4.5364;3.37590;1722.229;34.9671;1497.282;
19/07/2017;05:00:00;4.5366;3.37593;1722.250;34.9671;1497.284;
19/07/2017;05:15:00;4.5368;3.37597;1722.250;34.9674;1497.285;
19/07/2017;05:30:00;4.5411;3.37641;1722.299;34.9680;1497.304;
19/07/2017;05:45:00;4.5435;3.37660;1722.299;34.9677;1497.314;
19/07/2017;06:00:00;4.5433;3.37657;1722.314;34.9675;1497.313;
19/07/2017;06:15:00;4.5925;3.38137;1722.362;34.9718;1497.521;
19/07/2017;06:30:00;4.5798;3.38013;1722.405;34.9708;1497.468;
19/07/2017;06:45:00;4.5991;3.38192;1722.453;34.9714;1497.549;
19/07/2017;07:00:00;4.5882;3.38110;1722.468;34.9732;1497.507;
19/07/2017;07:15:00;4.5926;3.38149;1722.538;34.9731;1497.526;
19/07/2017;07:30:00;4.5917;3.38151;1722.559;34.9742;1497.524;
19/07/2017;07:45:00;4.5918;3.38141;1722.595;34.9729;1497.524;
19/07/2017;08:00:00;4.5819;3.38055;1722.638;34.9732;1497.484;
19/07/2017;08:15:00;4.5822;3.38054;1722.686;34.9729;1497.486;
19/07/2017;08:30:00;4.6027;3.38237;1722.723;34.9725;1497.570;
19/07/2017;08:45:00;4.5839;3.38070;1722.744;34.9728;1497.494;
19/07/2017;09:00:00;4.5592;3.37846;1722.807;34.9726;1497.393;
19/07/2017;09:15:00;4.5486;3.37735;1722.807;34.9708;1497.347;
19/07/2017;09:30:00;4.5339;3.37611;1722.864;34.9717;1497.289;
19/07/2017;09:45:00;4.5373;3.37636;1722.849;34.9711;1497.302;
